Book Name,Author,Rating,Customers_Rated,Price
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,4.5 out of 5 stars,"41,652",₹284.00
How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,4.4 out of 5 stars,"2,269",₹146.00
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,"8,113",₹247.00
Treasure Island,Robert Louis Stevenson,4.4 out of 5 stars,"6,547",₹99.00
How to Prepare for Verbal Ability and Reading Comprehension for CAT | 9th Edition,Arun Sharma,4.5 out of 5 stars,"1,084",₹649.00
Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,"1,881",₹137.00
Light on Yoga: The Classic Guide to Yoga by the World's Foremost Authority,B.K.S. Iyengar,4.5 out of 5 stars,"1,925",₹399.20
Brilliant Brain Activity Book 3+,Dreamland Publications,4.6 out of 5 stars,"1,284",₹161.00
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.4 out of 5 stars,"4,583",₹190.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"5,290",₹199.00
